店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
CoCo都可（嘉定南翔店）,https://www.meituan.com/meishi/2673352/,4.0,643,12.0,南翔
CoCo都可（夏碧二店）,https://www.meituan.com/meishi/165653099/,4.2,309,12.0,外高桥
CoCo都可（嘉定日月光店）,https://www.meituan.com/meishi/164363910/,4.5,392,12.0,嘉定镇
CoCo都可（江文店）,https://www.meituan.com/meishi/42626222/,4.1,551,12.0,闵浦
茶百道（静安国际中心店）,https://www.meituan.com/meishi/1655362606/,4.7,9,16.0,上海火车站/客运汽车总站
CoCo都可（京华门店）,https://www.meituan.com/meishi/1599904/,4.1,133,13.0,徐泾
CoCo都可（浦江万达店）,https://www.meituan.com/meishi/1954084810/,4.5,701,12.0,浦江镇
茶百道（延长中路店）,https://www.meituan.com/meishi/1634943107/,4.5,31,16.0,大宁地区
CoCo都可（金桥易初莲花店）,https://www.meituan.com/meishi/475367/,4.3,396,12.0,金桥
茶百道（打浦桥日月光店）,https://www.meituan.com/meishi/1096590561/,4.0,115,16.0,打浦桥/田子坊
CoCo都可（新达汇三林店）,https://www.meituan.com/meishi/501974692/,4.3,414,11.0,世博园
桂源铺（中山公园龙之梦店）,https://www.meituan.com/meishi/150537651/,4.5,659,15.0,中山公园/江苏路
CoCo都可（港城广场店）,https://www.meituan.com/meishi/1359041805/,4.6,17,13.0,南汇新城
CoCo都可（嘉定宝龙店）,https://www.meituan.com/meishi/125140702/,4.7,615,12.0,嘉定新城
悸动烧仙草（闵行东川路店）,https://www.meituan.com/meishi/1166364952/,4.7,87,15.0,老闵行/交大师大
茶百道（东方懿德城店）,https://www.meituan.com/meishi/1112879454/,4.3,10,15.0,浦江镇
CoCo都可（Jic静安国际中心店）,https://www.meituan.com/meishi/1378510428/,4.0,8,13.0,上海火车站/客运汽车总站
7分甜（上海青浦万达茂店）,https://www.meituan.com/meishi/192978193/,4.5,336,19.0,青浦城区
茶百道（天钥桥路店）,https://www.meituan.com/meishi/631713844/,4.5,41,16.0,徐家汇
CoCo都可（平城店）,https://www.meituan.com/meishi/96260457/,4.0,141,13.0,嘉定镇
茶百道（汇宝购物广场店）,https://www.meituan.com/meishi/1925416485/,4.5,54,16.0,七宝
悸动烧仙草（金汇路店）,https://www.meituan.com/meishi/1828617038/,4.3,113,15.0,虹桥镇
1点点（牡丹江店）,https://www.meituan.com/meishi/51776399/,4.3,0,25.0,宝山城区/吴淞
1点点（青浦宝龙店）,https://www.meituan.com/meishi/189366873/,3.9,0,17.0,青浦城区
CoCo都可（崇明八一店）,https://www.meituan.com/meishi/3289525/,4.3,542,10.0,南门
CoCo都可（金山万达一店）,https://www.meituan.com/meishi/113686460/,4.2,527,12.0,金山万达
茶百道（八一路店）,https://www.meituan.com/meishi/1207413565/,4.4,45,15.0,南门
茉沏（松江大学城店）,https://www.meituan.com/meishi/1607291924/,4.5,37,15.0,松江大学城
CoCo都可（墨玉店）,https://www.meituan.com/meishi/41782309/,3.8,374,13.0,安亭镇
茶百道（紫荆广场店）,https://www.meituan.com/meishi/1228994894/,4.1,38,16.0,控江地区
CoCo都可（临港宝龙店）,https://www.meituan.com/meishi/164483685/,4.1,757,12.0,泥城
CoCo都可（棕榈广场店）,https://www.meituan.com/meishi/113397928/,4.4,234,13.0,新桥
